,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
666,變,biàn,,4,to change,"to become different, to transform, to vary, rebellion"
578,遍,biàn,,4,everywhere,"all over, classifier for actions: one time, variant of 遍[bian4]"
4133,辯,biàn,,7,to dispute,"to debate, to argue, to discuss"
4125,編製,biānzhì,,7,to weave,"to plait, to compile, to put together (a lesson plan, budget etc)"
4124,編制,biānzhì,,7,to establish (a unit or department),staffing structure (excluding temporary and casual staff)
2107,扁,biǎn,,6,flat,"(coll.) to beat (sb) up, small boat, surname Pian, old variant of 匾[bian3]"
4128,貶,biǎn,,7,to diminish,"to demote, to reduce or devaluate, to disparage, to censure, to depreciate"
40,半,bàn,,1,half,"semi-, incomplete, (after a number) and a half"
2063,拌,bàn,,6,to mix,"to mix in, to toss (a salad)"
4094,報酬,bàochóu,,7,reward,remuneration
2081,報仇,bàochóu,,6,to take revenge,to avenge
4095,報復,bàofù,,7,to make reprisals,"to retaliate, revenge, retaliation"
4103,抱負,bàofù,,7,aspiration,ambition
2092,倍,bèi,,6,"(two, three etc) -fold","times (multiplier), double, to increase or multiply"
858,被,bèi,,4,quilt,"by, (indicates passive-voice clauses), (literary) to cover, to meet with"
755,背,bèi,,4,to be burdened,"to carry on the back or shoulder, the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing, variant of 背[bei1]"
4112,被子,bèizi,,7,quilt,CL:床[chuang2]
914,輩子,bèizi,,5,all one's life,lifetime
4120,敝,bì,,7,my (polite),"poor, ruined, shabby, worn out, defeated"
2105,閉,bì,,6,to close,"to stop up, to shut, to obstruct"
273,杯,bēi,,2,trophy cup,"classifier for certain containers of liquids: glass, cup, variant of 杯[bei1]"
4105,碑,bēi,,7,a monument,"an upright stone tablet, stele, CL:塊|块[kuai4],面[mian4]"
