,Word,Pinyin,Level,First Translation,Other Translations,Duplicate Pinyin
0,我,wǒ,1,I,"me, my",
1,你,nǐ,1,"you (informal, as opposed to courteous 您[nin2])",,
2,他,tā,1,he or him,"(used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another",Duplicate Pinyin
3,我們,wǒmen,1,we,"us, ourselves, our",
4,你們,nǐmen,1,you (plural),,
5,他們,tāmen,1,they,,Duplicate Pinyin
6,您,nín,1,"you (courteous, as opposed to informal 你[ni3])",,
7,誰,shéi,1,who,also pr. [shui2],
8,人,rén,1,man,"person, people, CL:個|个[ge4],位[wei4]",
9,中國,zhōngguó,1,China,,
10,美國,měiguó,1,United States,"USA, US",
11,日本,rìběn,1,Japan,Japanese,
12,台灣,táiwān,1,variant of 臺灣|台湾[Tai2 wan1],,
13,名字,míngzi,1,name (of a person or thing),CL:個|个[ge4],
14,家,jiā,1,home,"family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, see 傢伙|家伙[jia1 huo5], surname Jia, CL:個|个[ge4]",
15,電話,diànhuà,1,telephone,"phone call, phone number, CL:部[bu4], CL:通[tong1]",
16,現在,xiànzài,1,now,"at present, at the moment, modern, current, nowadays",
17,今年,jīnnián,1,this year,,
18,今天,jīntiān,1,today,"at the present, now",
19,明天,míngtiān,1,tomorrow,,
20,昨天,zuótiān,1,yesterday,,
21,早上,zǎoshang,1,early morning,CL:個|个[ge4],
22,上午,shàngwǔ,1,morning,CL:個|个[ge4],
23,中午,zhōngwǔ,1,noon,"midday, CL:個|个[ge4]",
24,下午,xiàwǔ,1,afternoon,"p.m., CL:個|个[ge4]",
25,晚上,wǎnshang,1,evening,"night, in the evening, CL:個|个[ge4]",
26,一,yī,1,one,"1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit",
27,二,èr,1,two,"2, (Beijing dialect) stupid",
28,三,sān,1,three,"3, surname San",
29,四,sì,1,four,4,Duplicate Pinyin
30,五,wǔ,1,five,5,
31,六,liù,1,six,6,
32,七,qī,1,seven,7,
33,八,bā,1,eight,8,
34,九,jiǔ,1,nine,9,Duplicate Pinyin
35,十,shí,1,ten,10,
