姓名,xìngmíng,
公園,gōngyuán,Duplicate Pinyin
國家,guójiā,
城市,chéngshì,Duplicate Pinyin
街,jiē,Duplicate Pinyin
電子郵件,diàn​zǐ​yóu​jiàn,
結婚,jiéhūn,
小時,xiǎoshí,
點鐘,diǎnzhōng,
分鐘,fēnzhōng,
夏天,xiàtiān,
冬天,dōngtiān,
秋天,qiūtiān,
春天,chūntiān,
年輕,niánqīng,
男生,nánshēng,
女生,nǚshēng,
小孩,xiǎohái,
家人,jiārén,Duplicate Pinyin
緊張,jǐnzhāng,
可愛,kěài,
胖,pàng,
矮,ǎi,Duplicate Pinyin
瘦,shòu,
千,qiān,Duplicate Pinyin
萬,wàn,
辦公室,bàngōngshì,
工廠,gōngchǎng,
工人,gōngrén,
護士,hùshì,
司機,sījī,
老闆,lǎobǎn,
同事,tóngshì,
上班,shàngbān,
小學,xiǎoxué,
上學,shàngxué,
作業,zuòyè,
功課,gōngkè,Duplicate Pinyin
請假,qǐngjià,
教室,jiàoshì,
洗手間,xǐshǒujiān,
語言,yǔyán,
科學,kēxué,
華語,huáyǔ,
黑板,hēibǎn,
課本,kèběn,
句子,jùzi,
注意,zhùyì,
讀書,dúshū,
回答,huídá,
休息,xiūxí,
決定,juédìng,
圖片,túpiàn,
記得,jìde,
房間,fángjiān,
廚房,chúfáng,
窗,chuānghu,
樓,lóu,Duplicate Pinyin
樓上,lóushàng,
樓下,lóuxià,
電梯,diàntī,
家具,jiājù,
椅子,yǐzi,
桌,zhuō,Duplicate Pinyin
沙發,shāfā,
冷氣,lěngqì,
安靜,ānjìng,
不錯,bùcuò,
海邊,hǎibiān,
湖,hú,Duplicate Pinyin
馬,mǎ,
鳥,niǎo,
貓,māo,
雞,jī,
太陽,tàiyáng,
下雨,xiàyǔ,
下雪,xiàxuě,
新年,xīnnián,
游泳,yóuyǒng,
踢,tī,
足球,zúqiú,
籃球,lánqiú,
網球,wǎngqiú,
棒球,bàngqiú,
比賽,bǐsài,
騎,qí,Duplicate Pinyin
腳踏車,jiǎotàchē,
跑步,pǎobù,
電影院,diànyǐngyuàn,
表演,biǎoyǎn,
上網,shàngwǎng,
輸,shū,Duplicate Pinyin
贏,yíng,
有時候,yǒushíhou,
久,jiǔ,Duplicate Pinyin
報紙,bàozhǐ,
不客氣,bùkèqì,
禮物,lǐwù,
歡迎,huānyíng,
晚會,wǎnhuì,
信封,xìnfēng,
寄,jì,Duplicate Pinyin
接,jiē,Duplicate Pinyin
郵局,yóujú,
銀行,yínháng,
警察,jǐngchá,
壞,huài,
幫忙,bāngmáng,
計程車,jìchéngchē,
車站,chēzhàn,
火車,huǒchē,
飛機,fēijī,
飛機場,fēijīchǎng,
馬路,mǎlù,
十字路口,shízìlùkǒu,
對面,duìmiàn,
裡面,lǐmiàn,Duplicate Pinyin
旅行,lǚxíng,Duplicate Pinyin
飯店,fàndiàn,
旅館,lǚguǎn,
參觀,cānguān,
地圖,dìtú,
照相機,zhàoxiàngjī,
照相,zhàoxiàng,
風景,fēngjǐng,
頭,tóu,Duplicate Pinyin
頭髮,tóufǎ,
耳朵,ěrduo,
手指,shǒuzhǐ,
肚子,dùzi,
健康,jiànkāng,
感冒,gǎnmào,
生病,shēngbìng,
受傷,shòushāng,
餓,è,
渴,kě,
舒服,shūfu,
眼鏡,yǎnjìng,
痛,tòng,
希望,xīwàng,
商店,shāngdiàn,
重要,zhòngyào,
公斤,gōngjīn,
顏色,yánsè,
黃色,huángsè,
白色,báisè,
襪子,wàzi,
裙子,qúnzi,
短,duǎn,
小心,xiǎoxīn,
牛奶,niúnǎi,
蛋,dàn,Duplicate Pinyin
