挨,āi,Duplicate Pinyin
欸,ǎi,Duplicate Pinyin
愛戴,àidài,
愛國,àiguó,
愛滋病,àizībìng,
安頓,āndùn,
安撫,ānfǔ,
安寧,ānníng,
安詳,ānxiáng,
安置,ānzhì,
暗暗,ànàn,
案件,ànjiàn,
案情,ànqíng,
案子,ànzi,
按摩,ànmó,
昂貴,ángguì,
奧妙,àomiào,
懊惱,àonǎo,
八卦,bāguà,
八字,bāzì,
把持,bǎchí,
把手,bǎshǒu,
白皮書,báipíshū,
拜會,bàihuì,
頒發,bānfā,
頒獎,bānjiǎng,
辦案,bànàn,
半島,bàndǎo,
半導體,bàndǎotǐ,
綁,bǎng,
包袱,bāofu,
包圍,bāowéi,
寶石,bǎoshí,
飽和,bǎohé,
飽滿,bǎomǎn,
保安,bǎoān,
保管,bǎoguǎn,
保齡球,bǎolíngqiú,
保姆,bǎomǔ,
保全,bǎoquán,
保佑,bǎoyòu,
保重,bǎozhòng,
報案,bàoàn,
報表,bàobiǎo,
報酬,bàochóu,Duplicate Pinyin
報復,bàofù,Duplicate Pinyin
報關,bàoguān,
報價,bàojià,
報刊,bàokān,
報應,bàoyìng,
報章,bàozhāng,
暴雨,bàoyǔ,
爆發,bàofā,
抱負,bàofù,Duplicate Pinyin
抱歉,bàoqiàn,
碑,bēi,Duplicate Pinyin
悲哀,bēiāi,
悲觀,bēiguān,
貝殼,bèiké,
倍數,bèishù,
背誦,bèisòng,
背心,bèixīn,
被子,bèizi,Duplicate Pinyin
奔騰,bēnténg,
本事,běnshì,
本位,běnwèi,
本性,běnxìng,
本質,běnzhí,
崩潰,bēngkuì,
甭,béng,
敝,bì,Duplicate Pinyin
編輯,biānjí,
編寫,biānxiě,
編織,biānzhī,
編制,biānzhì,Duplicate Pinyin
編製,biānzhì,Duplicate Pinyin
邊界,biānjiè,
邊緣,biānyuán,
貶,biǎn,Duplicate Pinyin
貶值,biǎnzhí,
匾額,biǎné,
辨認,biànrèn,
辨識,biànshì,
辯,biàn,Duplicate Pinyin
辯護,biànhù,
辯論,biànlùn,
變革,biàngé,
變遷,biànqiān,
變通,biàntōng,
變形,biànxíng,
標籤,biāoqiān,
標語,biāoyǔ,
表白,biǎobái,
表明,biǎomíng,
鼻孔,bíkǒng,
鼻涕,bítì,
筆錄,bǐlù,
筆友,bǐyǒu,
比率,bǐlǜ,
比擬,bǐnǐ,
比喻,bǐyù,
比重,bǐzhòng,
必備,bìbèi,
必定,bìdìng,
必然,bìrán,
閉幕,bìmù,
閉塞,bìsè,
避難,bìnàn,
避孕,bìyùn,
畢生,bìshēng,
幣值,bìzhí,
憋,biē,
別墅,biéshù,
兵,bīng,
賓館,bīnguǎn,
柄,bǐng,Duplicate Pinyin
並列,bìngliè,
並重,bìngzhòng,
併發,bìngfā,
病床,bìngchuáng,
病菌,bìngjùn,
病情,bìngqíng,
波及,bōjí,
波浪,bōlàng,
剝,bō,Duplicate Pinyin
剝削,bōxuè,
搏鬥,bódòu,
播出,bòchū,
補給,bǔjǐ,
補救,bǔjiù,
補習班,bǔxíbān,
哺乳動物,bǔrǔdòngwù,
不便,bùbiàn,
不得,bùdé,
不等,bùděng,
不動產,bùdòngchǎn,
不法,bùfǎ,
不凡,bùfán,
